		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
8.ent	Mexican State = 8, Chihuahua	-0.12092***	-0.12255***	-0.0012	-0.0029	-0.15131***	-0.15776***	0.0199	0.0244	-0.04858	-0.09336*	-0.0617*	-0.0336	-0.0647**	-0.0839***	-0.0513
		(0.04322)	(0.04390)	(0.0397)	(0.0376)	(0.04320)	(0.04428)	(0.0364)	(0.0346)	(0.05136)	(0.04865)	(0.0327)	(0.0346)	(0.0325)	(0.0317)	(0.0352)
10.ent	Mexican State = 10, Durango	-0.02227	-0.04283	0.0539*	0.0617**	-0.05250	-0.06527*	0.0752**	0.0870***	-0.01103	-0.04205	0.0262	0.0498	0.0025	-0.0123	0.0061
		(0.03472)	(0.03318)	(0.0298)	(0.0299)	(0.03525)	(0.03609)	(0.0296)	(0.0294)	(0.03574)	(0.03534)	(0.0306)	(0.0310)	(0.0299)	(0.0309)	(0.0305)
11.ent	Mexican State = 11, Guanajuato	0.04337	0.03899	0.0480	0.0519	0.05671*	0.04737	0.0562	0.0634	0.08441**	0.04901	-0.0012	0.0257	0.0693**	0.0530	0.0845**
		(0.03436)	(0.03387)	(0.0617)	(0.0607)	(0.03279)	(0.03354)	(0.0625)	(0.0619)	(0.03500)	(0.03532)	(0.0562)	(0.0572)	(0.0341)	(0.0343)	(0.0351)
12.ent	Mexican State = 12, Guerrero	0.12264***	0.11415***	-0.2046***	-0.1992***	0.14329***	0.13955***	-0.1904***	-0.1889***	0.11994**	0.10839**	-0.2086***	-0.1982***	0.0139	0.0099	0.0128
		(0.04520)	(0.04298)	(0.0410)	(0.0415)	(0.04011)	(0.04076)	(0.0381)	(0.0377)	(0.04895)	(0.04814)	(0.0426)	(0.0420)	(0.0299)	(0.0288)	(0.0293)
13.ent	Mexican State = 13, Hidalgo	0.04605	0.04069	-0.0008	0.0019	0.02976	0.02233	0.0109	0.0169	0.07089*	0.05023	-0.0246	-0.0090	0.0296	0.0157	0.0338
		(0.03931)	(0.03713)	(0.0339)	(0.0343)	(0.03731)	(0.03797)	(0.0353)	(0.0354)	(0.03715)	(0.03792)	(0.0345)	(0.0345)	(0.0297)	(0.0301)	(0.0287)
14.ent	Mexican State = 14, Jalisco	0.11227***	0.10649***	0.2129***	0.2146***	0.10151***	0.09141***	0.2270***	0.2357***	0.12528***	0.09797***	0.1850***	0.2045***	0.1527***	0.1390***	0.1596***
		(0.03071)	(0.02905)	(0.0293)	(0.0293)	(0.02923)	(0.03055)	(0.0294)	(0.0289)	(0.02917)	(0.03072)	(0.0303)	(0.0300)	(0.0244)	(0.0253)	(0.0241)
15.ent	Mexican State = 15, México	-0.09388***	-0.08911***	0.0320	0.0313	-0.08240***	-0.09125***	0.0332	0.0409	-0.06693**	-0.08768***	0.0016	0.0185	-0.0399*	-0.0487**	-0.0313
		(0.03024)	(0.02883)	(0.0255)	(0.0255)	(0.02845)	(0.02946)	(0.0263)	(0.0259)	(0.03050)	(0.03120)	(0.0266)	(0.0265)	(0.0227)	(0.0246)	(0.0222)
16.ent	Mexican State = 16, Michoacán de Ocampo	0.06454*	0.05434*	0.0770*	0.0820**	0.06505**	0.05991*	0.0966**	0.0996**	0.04602	0.02659	0.0718*	0.0864**	0.0843***	0.0739**	0.0819***
		(0.03433)	(0.03279)	(0.0403)	(0.0409)	(0.03274)	(0.03376)	(0.0426)	(0.0421)	(0.03386)	(0.03404)	(0.0403)	(0.0412)	(0.0302)	(0.0296)	(0.0293)
17.ent	Mexican State = 17, Morelos	0.01772	0.00338	-0.0760***	-0.0697***	0.01045	0.00064	-0.0694***	-0.0600**	0.02194	-0.00114	-0.0870***	-0.0695***	-0.0256	-0.0320	-0.0242
		(0.02836)	(0.02751)	(0.0244)	(0.0245)	(0.02685)	(0.02778)	(0.0246)	(0.0241)	(0.02849)	(0.02966)	(0.0254)	(0.0249)	(0.0226)	(0.0239)	(0.0222)
18.ent	Mexican State = 18, Nayarit	0.29082***	0.25027***	0.1463***	0.1603***	0.24923***	0.24667***	0.1733***	0.1756***	0.26432***	0.23800***	0.1531***	0.1716***	0.2053***	0.1926***	0.1942***
		(0.03750)	(0.03736)	(0.0407)	(0.0410)	(0.03753)	(0.03772)	(0.0414)	(0.0410)	(0.03581)	(0.03729)	(0.0422)	(0.0425)	(0.0335)	(0.0343)	(0.0327)
19.ent	Mexican State = 19, Nuevo León	-0.00297	0.00105	0.1446***	0.1429***	-0.01648	-0.02520	0.1523***	0.1606***	0.04324	0.00670	0.0999***	0.1243***	0.0522**	0.0345	0.0650**
		(0.02678)	(0.02582)	(0.0371)	(0.0369)	(0.02668)	(0.02805)	(0.0385)	(0.0374)	(0.02720)	(0.02865)	(0.0350)	(0.0367)	(0.0248)	(0.0265)	(0.0257)
20.ent	Mexican State = 20, Oaxaca	0.20978***	0.21127***	-0.1064***	-0.1045***	0.22661***	0.21646***	-0.0848**	-0.0785**	0.22558***	0.21092***	-0.1171***	-0.1077***	0.1166***	0.1005***	0.1134***
		(0.04262)	(0.04087)	(0.0338)	(0.0341)	(0.03973)	(0.04023)	(0.0346)	(0.0340)	(0.04320)	(0.04368)	(0.0347)	(0.0341)	(0.0327)	(0.0310)	(0.0317)
21.ent	Mexican State = 21, Puebla	0.08186	0.06937	0.0697**	0.0748**	0.06607	0.05688	0.0924**	0.0997***	0.11078*	0.08336	0.0438	0.0614*	0.0900*	0.0669	0.0929*
		(0.06441)	(0.06143)	(0.0349)	(0.0361)	(0.06136)	(0.06248)	(0.0395)	(0.0381)	(0.06267)	(0.06446)	(0.0362)	(0.0355)	(0.0499)	(0.0453)	(0.0485)
22.ent	Mexican State = 22, Querétaro	-0.10337**	-0.10324***	-0.0490	-0.0493	-0.09743***	-0.10937***	-0.0499	-0.0392	-0.04796	-0.08556**	-0.0997***	-0.0741**	-0.0626**	-0.0758**	-0.0475*
		(0.04077)	(0.03874)	(0.0331)	(0.0327)	(0.03419)	(0.03462)	(0.0354)	(0.0360)	(0.03503)	(0.03588)	(0.0367)	(0.0371)	(0.0298)	(0.0312)	(0.0286)
23.ent	Mexican State = 23, Quintana Roo	0.14630***	0.14152***	0.2560***	0.2574***	0.18032***	0.18133***	0.2474***	0.2445***	0.10323***	0.11624***	0.2675***	0.2654***	0.1774***	0.1890***	0.1739***
		(0.03240)	(0.03007)	(0.0497)	(0.0482)	(0.03046)	(0.03097)	(0.0498)	(0.0491)	(0.03398)	(0.03173)	(0.0501)	(0.0465)	(0.0222)	(0.0239)	(0.0217)
24.ent	Mexican State = 24, San Luis Potosí	-0.00218	-0.01390	0.0688**	0.0742***	-0.01574	-0.02564	0.0882***	0.0968***	0.02000	-0.01097	0.0410	0.0625**	0.0279	0.0150	0.0319
		(0.03217)	(0.03136)	(0.0278)	(0.0275)	(0.02884)	(0.02937)	(0.0278)	(0.0275)	(0.03607)	(0.03442)	(0.0280)	(0.0282)	(0.0273)	(0.0277)	(0.0284)
25.ent	Mexican State = 25, Sinaloa	0.15232***	0.11305***	0.0446	0.0570	0.09888***	0.09309***	0.0700*	0.0764**	0.13484***	0.10532***	0.0421	0.0617	0.0816**	0.0718**	0.0767**
		(0.03263)	(0.03099)	(0.0389)	(0.0398)	(0.03463)	(0.03511)	(0.0369)	(0.0367)	(0.03369)	(0.03425)	(0.0377)	(0.0383)	(0.0342)	(0.0347)	(0.0343)
26.ent	Mexican State = 26, Sonora	0.07996**	0.05742*	0.0189	0.0248	0.03319	0.02375	0.0351	0.0450	0.10857***	0.07274**	-0.0129	0.0117	0.0278	0.0142	0.0340
		(0.03370)	(0.03302)	(0.0449)	(0.0442)	(0.03228)	(0.03326)	(0.0438)	(0.0435)	(0.03402)	(0.03532)	(0.0441)	(0.0439)	(0.0348)	(0.0353)	(0.0353)
27.ent	Mexican State = 27, Tabasco	-0.14978***	-0.17676***	-0.0700**	-0.0597*	-0.14224***	-0.15257***	-0.0730**	-0.0627*	-0.16212***	-0.18937***	-0.0754**	-0.0538	-0.1118***	-0.1099***	-0.1096***
		(0.03800)	(0.04119)	(0.0353)	(0.0346)	(0.03603)	(0.03774)	(0.0360)	(0.0351)	(0.03727)	(0.04228)	(0.0364)	(0.0346)	(0.0296)	(0.0305)	(0.0291)
28.ent	Mexican State = 28, Tamaulipas	-0.00944	-0.00252	0.0159	0.0132	-0.01878	-0.02320	0.0211	0.0245	0.03878	0.00846	-0.0262	-0.0045	0.0016	-0.0091	0.0139
		(0.04451)	(0.04345)	(0.0309)	(0.0305)	(0.04114)	(0.04295)	(0.0315)	(0.0301)	(0.04991)	(0.04925)	(0.0298)	(0.0296)	(0.0322)	(0.0321)	(0.0335)
29.ent	Mexican State = 29, Tlaxcala	0.06412**	0.04524	0.0056	0.0133	0.03177	0.02204	0.0225	0.0314	0.11806***	0.08544***	-0.0438	-0.0192	0.0369	0.0157	0.0496**
		(0.03036)	(0.02857)	(0.0294)	(0.0299)	(0.02831)	(0.02938)	(0.0316)	(0.0309)	(0.03097)	(0.03214)	(0.0302)	(0.0308)	(0.0237)	(0.0254)	(0.0240)
30.ent	Mexican State = 30, Veracruz de Ignacio de la Llave	-0.16184***	-0.15699***	-0.0614*	-0.0627*	-0.16304***	-0.16814***	-0.0431	-0.0400	-0.15818***	-0.17532***	-0.0668**	-0.0559*	-0.1055***	-0.1087***	-0.1076***
		(0.03269)	(0.03108)	(0.0323)	(0.0324)	(0.03212)	(0.03303)	(0.0326)	(0.0319)	(0.03192)	(0.03301)	(0.0332)	(0.0322)	(0.0259)	(0.0266)	(0.0251)
31.ent	Mexican State = 31, Yucatán	0.17280***	0.16885***	0.1582***	0.1633***	0.20677***	0.19483***	0.1569***	0.1668***	0.20217***	0.18044***	0.1309**	0.1473***	0.1732***	0.1653***	0.1814***
		(0.04217)	(0.03858)	(0.0593)	(0.0616)	(0.04745)	(0.04614)	(0.0600)	(0.0618)	(0.05186)	(0.04781)	(0.0513)	(0.0553)	(0.0461)	(0.0436)	(0.0487)
32.ent	Mexican State = 32, Zacatecas	-0.03788	-0.06238*	-0.1544***	-0.1439***	-0.06041*	-0.07214**	-0.1301***	-0.1196***	-0.04959	-0.07306**	-0.1697***	-0.1503***	-0.0728***	-0.0828***	-0.0732***
		(0.03247)	(0.03238)	(0.0403)	(0.0400)	(0.03208)	(0.03372)	(0.0381)	(0.0373)	(0.03162)	(0.03300)	(0.0422)	(0.0409)	(0.0281)	(0.0292)	(0.0279)
1.n_hij	Number of sons or daughters born alive = 1, One son or daughter	0.17356***	0.17214***			0.17536***	0.17519***			0.17431***	0.17364***					
		(0.01230)	(0.01228)			(0.01230)	(0.01229)			(0.01231)	(0.01230)					
2.n_hij	Number of sons or daughters born alive = 2, Two sons or daughters	0.03734***	0.03587***			0.03902***	0.03885***			0.03753***	0.03686***					
		(0.01393)	(0.01390)			(0.01395)	(0.01395)			(0.01395)	(0.01392)					
3.n_hij	Number of sons or daughters born alive = 3, Three sons or daughters	-0.03426**	-0.03593**			-0.03260**	-0.03304**			-0.03396**	-0.03502**					
		(0.01628)	(0.01622)			(0.01628)	(0.01628)			(0.01628)	(0.01625)					
4.n_hij	Number of sons or daughters born alive = 4, Four sons or daughters	-0.08696***	-0.08867***			-0.08610***	-0.08636***			-0.08752***	-0.08846***					
		(0.01744)	(0.01743)			(0.01746)	(0.01745)			(0.01740)	(0.01740)					
5.n_hij	Number of sons or daughters born alive = 5, Five or more sons or daughters	-0.10554***	-0.10702***			-0.10868***	-0.10870***			-0.10752***	-0.10797***					
		(0.01752)	(0.01751)			(0.01747)	(0.01747)			(0.01751)	(0.01751)					
sde_mun_agri	% of agricultural jobs at the municipal level	-0.00599***	0.00070	0.0033***	0.0008									0.0068***		
		(0.00044)	(0.00089)	(0.0004)	(0.0009)									(0.0004)		
c.sde_mun_agri#c.sde_mun_agri			-0.00008***		0.0000**											
			(0.00001)		(0.0000)											
